compound,mass
C02934,299.2824
C02939,851.1727
C02946,145.0739
C02985,244.0348
C02990,399.3349
C03012,160.0524
C03028,505.0113
C03069,849.1571
C03090,229.0351
C03150,255.0981
C03170,721.2887
C03205,330.2195
C03221,947.2666
C03227,224.0797
C03231,893.1469
C03232,183.9773
C03263,660.3159
C03284,103.0633
C03287,227.0195
C03289,176.0321
C03313,452.3654
C03344,865.1519999999999
C03345,849.1571
C03366,242.0668
C03373,295.0569
C03406,290.1226
C03410,325.1009
C03428,586.3188
C03440,131.0582
C03451,379.1049
C03455,524.4593
C03460,835.1414
C03461,220.1827
C03479,473.1659
C03492,299.077
C03508,117.0426
C03546,260.0297
C03564,113.0477
C03594,402.3498
C03680,156.0535
C03681,316.2402
C03684,237.0862
C03691,630.1422
C03722,167.0219
C03758,153.079
C03765,136.0524
C03771,173.08
C03772,288.2089
C03785,339.996
C03793,188.1525
C03794,463.074
C03824,141.0426
C03827,162.0528
C03838,286.0566
C03845,386.3549
C03912,113.0477
C03917,290.2246
C04006,260.0297
C04042,316.2402
C04043,152.0473
C04051,126.0542
C04062,339.996
C04063,339.996
C04076,145.0739
C04079,322.1199
C04132,301.0468
C04144,703.2562
C04185,193.0375
C04188,260.012
C04242,326.0315
C04244,239.1018
C04257,301.0563
C04281,129.0426
C04282,129.0426
C04295,290.2246
C04352,402.0862
C04373,290.2246
C04376,314.0515
C04392,870.0061
C04405,867.1676
C04409,185.0324
C04477,499.9287
C04489,717.2718
C04494,682.9233
C04501,301.0563
C04518,332.2351
C04520,499.9287
C04554,434.3396
C04555,368.1657
C04582,260.012
C04640,313.0675
C04646,364.0243
C04677,338.0628
C04722,450.3345
C04734,366.0577
C04742,320.2351
C04751,339.0468
C04805,320.2351
C04823,454.0737
C04853,352.225
C04874,255.0968
C04895,494.9957
C05103,398.3549
C05107,382.3236
C05108,412.3705
C05109,428.4018
C05122,515.2917
C05125,469.0712
C05127,125.0953
C05130,110.04799999999999
C05138,332.2351
C05139,304.2038
C05140,302.1882
C05141,288.1725
C05147,131.0582
C05172,161.8985
C05198,251.1018
C05258,1021.3398
C05259,1019.3241
C05260,993.3085
C05261,991.2928
C05262,965.2772
C05263,963.2615
C05264,937.2459
C05265,935.2302
C05266,909.2146
C05267,907.1989
C05268,881.1833
C05269,879.1676
C05270,865.1884
C05271,863.1727
C05272,1003.3292
C05273,975.2979
C05274,921.2510000000001
C05275,919.2353
C05276,891.204
C05279,945.2510000000001
C05280,945.2510000000001
C05284,302.1882
C05285,300.1725
C05290,302.1882
C05293,290.2246
C05294,304.2038
C05295,302.1882
C05297,300.1725
C05298,286.1569
C05299,300.1725
C05300,286.1569
C05301,288.1725
C05302,302.1882
C05332,121.0891
C05335,196.9955
C05337,1141.3973
