pathway,compounds
cge00460,C00037 C00101 C00143 C00065 C05711 C00561 C05670 C00844 C00221 C01594 C00031 C03742 C18796 C08334 C08325 C02659 C06114 C05143 C02512
cge00471,C00819 C00217 C00064
cge00472,C03771 C01110 C00515 C00792
cge00480,C00345 C00127 C04232 C03723 C05729 C03170 C01672 C01025 C03740 C02090 C05726 C00311 C00170 C00199 C00723 C00669 C02320 C01322 C00097 C01879 C00037 C16565 C00315 C02288 C00151 C00134 C01419 C00077 C16663 C01137 C00750 C16664 C01236 C01172 C02582 C01356 C02315 C00462
cge00500,C00069 C00103 C00031 C01798 C00718 C00029 C00721 C00369 C00760 C05345 C00252 C02336 C01231 C03033 C00221 C00267 C00089 C01083 C00208 C00668 C00197 C00185 C00191 C00190 C00236 C01335
cge00510,C00029 G00003 G00002 G00001 G00007 G00006 G00005 G00004 G00009 G00008 C00043 C00621 G00021 G00020 G00022 C01246 G10609 C00096 C00159 G10526 C00110 C03862 C00031 G10622 G10620 G10621 G00014 G00015 G00016 G00017 G00010 G00011 G00012 G00013 G00018 G00019 C00381 G00171 G10598 G10599 G10610 G10617 G10616 G10615 G10614 C03021 G10619 G10618 G10595 G10596 G10597
cge00512,G00029 G00028 G10621 G00032 G00023 G00031 G00027 G00026 C02189 G10611 G10610 G10616 G10619 G00035 G10609
cge00520,C00329 C00103 C00022 C00128 C00140 C00029 C00064 C00325 C04257 C01674 C00636 C01222 C00275 C00270 C04501 C00645 C00984 C01019 C00052 C00668 C00190 C00096 C00159 C00033 C02336 C00357 C00352 C00074 C03410 C05345 C00446 C00085 C06241 C00461 C00267 C00043 C00996 C02985 C00999 C03691
cge00524,C00092 C00031
cge00531,G13037 C00124 G09660 G13036 C00140 G13074 G13042 C04132 C00059 C06472 C16265 G00711 G13035 G13034 G13038 G13039 G01945 G13073 G12336 C00191 G01977 G13043 C00925 G13041 G13040 G01391 G00526 G02632 G00872 G10505 C01074
cge00532,G00160 G00154 G00157 G00156 C00401 G00159 G00158 G10609 G10613 G10612 G10611 C01490 G00155 G10619 C02189
cge00534,G10612 G00162 G00163 G00164 G10619 G10610 G00157
cge00561,C00116 C00124 C00258 C00681 C00422 C00111 C00197 C00577 C06037 C00416 C03692 C00040 C00641 C00162 C00184 C00093 C00605 C01885
cge00562,C01284 C05981 C04549 C01220 C04637 C04520 C01245 C00641 C01243 C03546 C00092 C00191 C01204 C00111 C00137 C00118 C04006 C11557 C11556 C11555 C11554 C00269 C00222 C04063 C04062 C01177 C01277 C01272 C01194 C04477
cge00563,C00033 G10622 C00154 C00350 G00146 G00147 G00144 G00145 G00143 C00416 G13044 G00148 G00149 G10610 G10617 G12396 C00641 G10619 C01194
cge00564,C00588 C00344 C00346 C04230 C04233 C00681 C00021 C03819 C05980 C18125 C00513 C18126 C02737 C00570 C00416 C18129 C00040 C00641 C01241 C00093 C00114 C00033 C00137 C00019 C00157 C00350 C04308 C01958 C00065 C01996 C03892 C01233 C00269 C00084 C04438 C03372 C00111 C05973 C00670 C05974 C00370 C00307 C00162 C00189 C01194
cge00565,C04317 C00346 C00060 C04475 C00570 C05212 C00040 C15647 C15646 C00052 C20825 C00339 C00033 C15645 C00071 C03820 C04756 C03715 C04635 C01233 C03372 C04517 C05977 C03201 C00670 C03454 C00307 C03129 C00189 C04598 C20859
cge00590,C00342 C00343 C14781 C14782 C04230 C00028 C00584 C14814 C05965 C05356 C14778 C00909 C14774 C14775 C14813 C14812 C14770 C14771 C14772 C14773 C00219 C02166 C02165 C05966 C00030 C00157 C05951 C00127 C14823 C04853 C14769 C14768 C05956 C01312 C00427 C14749 C14748 C00639 C04805 C00696 C02198 C04742
cge00591,C14825 C14826 C01595 C04230 C00157
cge00592,C00030 C04230 C00028 C00157 C04233 C16300 C06427 C16328 C16338 C16339 C16336 C16334 C16335 C16332 C16330 C16331 C16327
cge00600,C00588 C00124 C00065 C02960 C01120 C00346 C00517 C00270 C02686 C06126 C06127 C06124 C06125 C00641 C06123 C00052 C00195 C00319 C00550 C06128 C00031 C00029 C00154 C00157 C01290 C02934 C00836 C12126 C00059 C12145 C00040 C00162 C12144 C01190 C00996 C00999
cge00601,G00089 G00088 G00083 G00082 G00081 G00086 G00085 G00084 G00074 G00064 G00067 G00066 G00060 G00063 G00062 G00047 G00044 G00069 G00042 G10609 G00050 G00077 G10620 G10621 G00090 G00038 G00092 G00039 G00054 G00073 G00076 G00051 G00052 G00075 G00072 G00055 G00056 G00071 G00058 G00059 G00057 G00036 G00037 G00068 G10611 G10610 G10616 G10615 G10619
cge00603,G10621 G00098 G00099 G00094 G00095 G10620 G00097 G00092 G00093 C00124 C01132 G00103 G00104 G10611 G10616 G10615 G10619 G10609
cge00604,C00124 G10621 G00092 G00124 G00125 G00126 G00127 G00120 G00123 G00128 G00129 C01132 G00119 G00118 G00108 G00109 G00111 G00110 G00113 G00112 G00115 G00114 G00117 G00116 G10611 G10616 G10619 G10609
cge00620,C00036 C00122 C00149 C05993 C00126 C00022 C00332 C15973 C00074 C00937 C00186 C16255 C00256 C00125 C00227 C00084 C00083 C00454 C05125 C00033 C03451 C00546 C00201 C15972
cge00630,C00328 C00149 C00100 C00022 C00143 C00065 C00064 C00683 C01127 C20238 C18026 C00258 C01146 C00101 C00311 C00091 C00197 C00988 C00036 C00037 C00332 C00158 C01213 C00160 C00417 C02700 C00048 C00168
cge00640,C15973 C00100 C05984 C00099 C00332 C15972 C00109 C00683 C01013 C04570 C04253 C00083 C00222 C05668 C05983 C21017 C21018 C00042 C00894 C00163 C00091 C01213 C06002
cge00650,C00136 C00332 C00334 C00877 C00091 C02630 C01144 C00246 C00164 C00042 C00356 C01089 C00232
cge00670,C00037 C00439 C00101 C00143 C03838 C00065 C04677 C04734 C02972 C01045 C02430 C00155 C00445 C00504 C00440 C00415 C04376 C03294 C01242 C03479 C00073 C00664 C00234
cge00730,C15812 C15811 C00378 C03028 C01081 C00041 C00097
cge00740,C00061 C00530 C00472 C00255 C01007
cge00750,C00250 C00018 C00647 C00534 C06054 C06055 C00314 C00627 C00847
cge00760,C05841 C05842 C05843 C00021 C00019 C00153 C02918 C00119 C00064 C03722 C00857 C00253 C00620 C03150 C13051 C01185 C00455 C00301
cge00770,C00106 C04352 C00141 C00864 C00183 C01134 C04079 C01678 C00429 C00229 C00831 C00099 C03492 C03688 C00049 C02642 C00882 C00097
cge00780,C00120 C20376 C20375 C20372 C06249 C01209 C00047 C00229 C06250 C05921 C05552 C19673
cge00785,C05752 C00019 C17023 C00229 C16237 C16236 C16240 C05198 C00073 C16239 C16238
cge00790,C09332 C00101 C05924 C04244 C20239 C18239 C00084 C05923 C05922 C00504 C00415 C17023 C00268 C06148 C00536 C00272 C04895 C03684 C00921 C04874 C03541
cge00830,C16682 C16680 C00376 C15492 C15493 C00030 C03889 C00028 C00157 C04233 C16681 C00154 C02075 C11061 C16679 C16677 C02094 C02110 C03455 C00249 C00162 C02588 C00899 C00473 C00777
cge00860,C15672 C15670 C05787 C00028 C05768 C01708 C14819 C14818 C00430 C05766 C01024 C00536 C06258 C00091 C00191 C00237 C00037 C00032 C00030 C05791 C02248 C00931 C00194 C01079 C01051 C00853 C05774 C01641 C00524 C00500 C00448 C06505 C06506 C00486 C02191 C02987 C06508 C03263
cge00900,C00341 C00012 C00021 C05859 C00019 C20119 C00332 C00353 C00356 C19691 C01107 C20120 C04748 C00418 C04506 C17432 C01143 C00448 C03461 C00129 C00235 C00097
cge00910,C00064 C00169
cge00920,C00125 C00283 C01755 C00320 C15603 C15602 C00224 C00177 C19692 C00126 C00094 C00059
cge00970,C00148 C06481 C00101 C00062 C00065 C00064 C16636 C16638 C02430 C01651 C01650 C01653 C01652 C06482 C00047 C00787 C03402 C02992 C00234 C02163 C02839 C00152 C00082 C03511 C03512 C00188 C03125 C03127 C00183 C00123 C02412 C02553 C02554 C01637 C01636 C01635 C01639 C01638 C01931 C03294 C00886 C00097 C00037 C00078 C00079 C00073 C00135 C02282 C02702 C05172 C01642 C01643 C01640 C01641 C01646 C01647 C01644 C01645 C01648 C01649 C00407 C00041 C02988 C02984 C00049 C02987 C06113 C06112 C02047
cge00980,C19588 C14787 C07535 C19580 C19586 C14786 C19490 C14855 C14854 C14857 C06899 C14851 C11088 C14853 C11150 C14859 C14858 C14556 C06790 C06800 C19559 C14861 C14863 C14864 C14865 C14866 C14868 C14869 C06205 C14801 C16453 C19562 C19563 C14839 C19561 C19566 C11148 C14039 C16756 C11278 C14874 C14871 C14870 C19595 C19594 C01327 C03012 C14791 C14453 C19607 C19604 C14856 C00829 C19574 C19577 C14850 C14847 C14845 C14840 C14802 C14800 C14852 C14848 C14849 C13645 C19489 C19488 C07490 C14040
cge00982,C16612 C07645 C07646 C16560 C07572 C16561 C07501 C16578 C00543 C07108 C16545 C16595 C16577 C16608 C16609 C07073 C16643 C16610 C16591 C16596 C16584 C16587 C16586 C01516 C11583 C00218 C16582 C16551 C06174
cge00983,C00021 C00064 C11376 C16633 C16632 C16631 C16630 C16637 C16635 C16634 C16619 C16618 C07585 C00620 C16613 C16615 C16614 C16617 C07649 C00191 C11173 C02380 C07648 C00019 C00119 C07447 C16837 C16836 C16834 C16620 C16622 C16543 C04242 C12650 C11736 C16641 C04646 C00672 C12739 C07054
cge01040,C00510 C00154 C16162 C03035 C00412 C16165 C03595 C16169 C02050 C06427 C06426 C06425 C00249 C01595 C06429 C06428 C01530 C02249 C00219 C02041 C03242 C00712
cge01200,C00149 C00345 C00100 C00022 C00143 C00065 C00067 C04832 C03232 C00279 C00101 C00668 C00231 C00236 C00117 C00354 C15603 C15602 C05345 C00222 C01236 C04628 C00111 C01172 C00440 C00267 C14180 C00894 C00988 C00184 C05382 C00122 C00158 C01031 C00683 C04348 C05378 C04253 C20238 C00257 C18026 C05668 C01005 C00311 C00199 C00198 C00136 C00091 C00197 C00036 C00037 C00033 C00119 C00332 C00132 C00074 C00118 C01013 C00877 C04570 C01213 C00447 C00085 C00631 C00404 C03576 C00042 C00041 C00160 C00049 C00048 C00168 C00169
cge01210,C00036 C00033 C00022 C00322 C00141 C00077 C00123 C00158 C00956 C05379 C00437 C00624 C00417 C00407 C00311 C00671 C00041 C00049 C00233 C00183
cge01212,C01944 C00412 C16172 C16173 C05259 C05258 C16169 C03939 C05764 C03035 C04633 C05761 C05760 C05763 C05762 C01144 C02990 C01832 C00154 C16163 C16162 C05268 C05269 C05264 C05265 C05266 C16168 C05260 C05261 C05262 C05263 C05750 C05751 C05752 C05753 C05754 C16218 C05756 C05757 C05758 C05759 C16217 C05223 C00229 C04620 C00996 C05267 C00999 C05755 C16219 C05273 C05272 C05271 C16216 C05276 C05275 C05274 C05270 C05749 C05748 C16220 C05746 C05745 C05744 C04618 C04619 C01209 C16389 C16388 C16387 C02050 C00318 C02593 C04088 C00136 C00332 C16376 C00877 C16374 C16375 C04246 C03221 C00083 C00249 C05747 C16221 C04688
cge01230,C00148 C00022 C00143 C00062 C00065 C00064 C00109 C04076 C03232 C00279 C00624 C00101 C00272 C00231 C00233 C03406 C00236 C00117 C00111 C00019 C00155 C00118 C00956 C05345 C00082 C01179 C04144 C00268 C00440 C01165 C03287 C00188 C00183 C02291 C00122 C00123 C00158 C00322 C00327 C03912 C05378 C01005 C00311 C00199 C04489 C00073 C00197 C00097 C00036 C00037 C00079 C00033 C00119 C00077 C00074 C00437 C00086 C00084 C00631 C00407 C05382 C00141 C00671 C00041 C00049 C00169
